TIME, LEFT DESIRED, LEFT ACTUAL, RIGHT DESIRED, RIGHT ACTUAL
7.01,0.00,-0.01,0.00,-0.01
0.01,0.00,-0.01,0.00,-0.01
0.02,0.00,-0.01,0.00,-0.01
0.03,0.00,-0.01,0.00,-0.01
0.03,0.00,-0.01,0.00,-0.01
0.04,0.00,-0.01,0.00,-0.01
0.05,0.00,-0.01,0.00,-0.01
0.05,0.00,-0.01,0.00,-0.01
0.06,0.00,-0.01,0.00,-0.01
0.07,0.00,-0.01,0.00,-0.01
0.08,0.00,-0.01,0.00,-0.01
0.08,0.00,-0.01,0.00,-0.01
0.09,0.00,-0.01,0.00,-0.01
0.10,0.00,-0.01,0.00,-0.01
0.11,0.00,-0.01,0.00,-0.01
0.11,0.00,-0.01,0.00,-0.01
0.12,0.00,-0.01,0.00,-0.01
0.13,0.00,-0.01,0.00,-0.01
0.13,0.00,-0.01,0.00,-0.01
0.14,0.00,-0.01,0.00,-0.01
0.15,0.00,-0.01,0.00,-0.01
0.16,0.00,-0.01,0.00,-0.01
0.17,0.00,-0.01,0.00,-0.01
0.17,0.00,-0.01,0.00,-0.01
0.18,0.00,-0.01,0.00,-0.01
0.19,0.00,-0.01,0.00,-0.01
0.19,0.00,-0.01,0.00,-0.01
0.20,0.00,-0.01,0.00,-0.01
0.21,0.00,-0.01,0.00,-0.01
0.22,0.00,-0.01,0.00,-0.01
0.22,0.00,-0.01,0.00,-0.01
0.23,0.00,-0.01,0.00,-0.01
0.24,0.00,-0.01,0.00,-0.01
0.24,0.00,-0.01,0.00,-0.01
0.25,0.00,-0.00,0.00,-0.01
0.26,0.00,-0.00,0.00,-0.01
0.27,0.00,-0.00,0.00,-0.01
0.27,0.00,-0.00,0.00,-0.01
0.28,0.00,-0.00,0.00,-0.01
0.29,0.00,-0.00,0.00,-0.01
0.30,0.00,-0.00,0.00,-0.01
0.30,0.00,-0.00,0.00,-0.01
0.31,0.00,-0.00,0.00,-0.01
0.32,0.00,-0.00,0.00,-0.01
0.32,0.00,-0.00,0.00,-0.01
0.33,0.00,-0.00,0.00,-0.00
0.34,0.00,-0.00,0.00,-0.00
0.35,0.00,-0.00,0.00,-0.00
0.35,0.00,-0.00,0.00,-0.00
0.36,0.00,-0.00,0.00,-0.00
0.37,0.00,-0.00,0.00,-0.00
0.38,0.00,-0.00,0.00,-0.00
0.38,0.00,-0.00,0.00,-0.00
0.39,0.00,-0.00,0.00,-0.00
0.40,0.00,-0.00,0.00,0.00
0.40,0.00,-0.00,0.00,0.00
0.41,0.00,-0.00,0.00,-0.00
0.42,0.00,-0.00,0.00,-0.00
0.43,0.00,-0.00,0.00,0.00
0.43,0.00,-0.00,0.00,0.00
0.44,0.00,-0.00,0.00,0.00
0.45,0.00,-0.00,0.00,-0.00
0.45,0.00,-0.00,0.00,0.00
0.46,0.00,-0.00,0.00,0.00
0.47,0.00,-0.00,0.00,0.00
0.48,0.00,-0.00,0.00,0.00
0.49,0.00,-0.00,0.00,0.00
0.49,0.00,-0.00,0.00,0.00
0.50,0.00,-0.00,0.00,0.00
0.51,0.00,0.00,0.00,0.00
0.51,0.00,0.00,0.00,0.00
0.52,0.00,0.00,0.00,0.00
0.53,0.00,0.00,0.00,0.00
0.54,0.00,0.00,0.00,0.00
0.54,0.00,0.00,0.00,0.00
0.55,0.00,0.00,0.00,0.00
0.56,0.00,0.00,0.00,0.00
0.56,0.00,0.00,0.00,0.00
0.57,0.00,0.00,0.00,0.00
0.58,0.00,0.00,0.00,0.00
0.58,0.00,0.00,0.00,0.00
0.59,0.00,0.00,0.00,0.00
0.60,0.00,0.00,0.00,0.00
0.61,0.00,0.00,0.00,0.00
0.61,0.00,0.00,0.00,0.00
0.62,0.00,0.00,0.00,0.00
0.63,0.00,0.00,0.00,0.00
0.64,0.00,0.00,0.00,0.00
0.64,0.00,0.00,0.00,0.00
0.65,0.00,0.00,0.00,0.00
0.66,0.00,0.00,0.00,0.00
0.66,0.00,0.00,0.00,0.00
0.67,0.00,0.00,0.00,0.00
0.68,0.00,0.00,0.00,0.00
0.69,0.00,0.00,0.00,0.00
0.69,0.00,0.00,0.00,0.00
0.70,0.00,0.00,0.00,0.00
0.71,0.00,0.00,0.00,0.00
0.71,0.00,0.00,0.00,0.00
0.72,0.00,0.00,0.00,0.00
0.73,0.00,0.00,0.00,0.00
0.74,0.00,0.00,0.00,0.00
0.74,0.00,0.00,0.00,0.00
0.75,0.00,0.00,0.00,0.00
0.76,0.00,0.00,0.00,0.00
0.76,0.00,0.00,0.00,0.00
0.77,0.00,0.00,0.00,0.00
0.78,0.00,0.00,0.00,0.00
0.79,0.00,0.00,0.00,0.00
0.79,0.00,0.00,0.00,0.00
0.80,0.00,0.00,0.00,0.00
0.81,0.00,0.00,0.00,0.00
0.81,0.00,0.00,0.00,0.00
0.82,0.00,0.00,0.00,0.00
0.83,0.00,0.00,0.00,0.00
0.84,0.00,0.00,0.00,0.00
0.84,0.00,0.00,0.00,0.00
0.85,0.00,0.00,0.00,0.00
0.86,0.00,0.00,0.00,0.00
0.86,0.00,0.00,0.00,0.00
0.87,0.00,0.00,0.00,0.00
0.88,0.00,0.00,0.00,0.00
0.89,0.00,0.00,0.00,0.00
0.89,0.00,0.00,0.00,0.00
0.90,0.00,0.00,0.00,0.00
0.91,0.00,0.00,0.00,0.00
0.91,0.00,0.00,0.00,0.00
0.92,0.00,0.00,0.00,0.00
0.93,0.00,0.00,0.00,0.00
0.94,0.00,0.00,0.00,0.00
0.94,0.00,0.00,0.00,0.00
0.95,0.00,0.00,0.00,0.00
0.96,0.00,0.00,0.00,0.00
0.96,0.00,0.00,0.00,0.00
0.97,0.00,0.00,0.00,0.00
0.98,0.00,0.00,0.00,0.00
0.99,0.00,0.00,0.00,0.00
0.99,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00
1.01,0.00,0.00,0.00,0.00
1.02,0.00,0.00,0.00,0.00
1.02,0.00,0.00,0.00,0.00
1.03,0.00,0.00,0.00,0.00
1.04,0.00,0.00,0.00,0.00
1.04,0.00,0.00,0.00,0.00
1.05,0.00,0.00,0.00,0.00
1.06,0.00,0.00,0.00,0.00
1.07,0.00,0.00,0.00,0.00
1.07,0.00,0.00,0.00,0.00
1.08,0.00,0.00,0.00,0.00
1.09,0.00,0.00,0.00,0.00
1.09,0.00,0.00,0.00,0.00
1.10,0.00,0.00,0.00,0.00
1.11,0.00,0.00,0.00,0.00
1.12,0.00,0.00,0.00,0.00
1.12,0.00,0.00,0.00,0.00
1.13,0.00,0.00,0.00,0.00
1.14,0.00,0.00,0.00,0.00
1.14,0.00,0.00,0.00,0.00
1.15,0.00,0.00,0.00,0.00
1.16,0.00,0.00,0.00,0.00
1.17,0.00,0.00,0.00,0.00
1.17,0.00,0.00,0.00,0.00
1.18,0.00,0.00,0.00,0.00
1.19,0.00,0.00,0.00,0.00
1.20,0.00,0.00,0.00,0.00
1.20,0.00,0.00,0.00,0.00
1.21,0.00,0.00,0.00,0.00
1.22,0.00,0.00,0.00,0.00
1.22,0.00,0.00,0.00,0.00
1.23,0.00,0.00,0.00,0.00
1.24,0.00,0.00,0.00,0.00
1.25,0.00,0.00,0.00,0.00
1.25,0.00,0.00,0.00,0.00
1.26,0.00,0.00,0.00,0.00
1.27,0.00,0.00,0.00,0.00
1.27,0.00,0.00,0.00,0.00
1.28,0.00,0.00,0.00,0.00
1.29,0.00,0.00,0.00,0.00
1.29,0.00,0.00,0.00,0.00
1.30,0.00,0.00,0.00,0.00
1.31,0.00,0.00,0.00,0.00
1.32,0.00,0.00,0.00,0.00
1.32,0.00,0.00,0.00,0.00
1.33,0.00,0.00,0.00,0.00
1.34,0.00,0.00,0.00,0.00
1.35,0.00,0.00,0.00,0.00
1.35,0.00,0.00,0.00,0.00
1.36,0.00,0.00,0.00,0.00
1.37,0.00,0.00,0.00,0.00
1.37,0.00,0.00,0.00,0.00
1.38,0.00,0.00,0.00,0.00
1.39,0.00,0.00,0.00,0.00
1.39,0.00,0.00,0.00,0.00
1.40,0.00,0.00,0.00,0.00
1.41,0.00,0.00,0.00,0.00
1.42,0.00,0.00,0.00,0.00
1.42,0.00,0.00,0.00,0.00
1.43,0.00,0.00,0.00,0.00
1.44,0.00,0.00,0.00,0.00
1.45,0.00,0.00,0.00,0.00
1.45,0.00,0.00,0.00,0.00
1.46,0.00,0.00,0.00,0.00
1.47,0.00,0.00,0.00,0.00
1.48,0.00,0.00,0.00,0.00
1.48,0.00,0.00,0.00,0.00
1.49,0.00,0.00,0.00,0.00
1.50,0.00,0.00,0.00,0.00
1.50,0.00,0.00,0.00,0.00
1.51,0.00,0.00,0.00,0.00
1.52,0.00,0.00,0.00,0.00
1.52,0.00,0.00,0.00,0.00
1.53,0.00,0.00,0.00,0.00
1.54,0.00,0.00,0.00,0.00
1.55,0.00,0.00,0.00,0.00
1.55,0.00,0.00,0.00,0.00
1.56,0.00,0.00,0.00,0.00
1.57,0.00,0.00,0.00,0.00
1.58,0.00,0.00,0.00,0.00
1.58,0.00,0.00,0.00,0.00
1.59,0.00,0.00,0.00,0.00
1.60,0.00,0.00,0.00,0.00
1.60,0.00,0.00,0.00,0.00
1.61,0.00,0.00,0.00,0.00
1.62,0.00,0.00,0.00,0.00
1.63,0.00,0.00,0.00,0.00
1.63,0.00,0.00,0.00,0.00
1.64,0.00,0.00,0.00,0.00
1.65,0.00,0.00,0.00,0.00
1.65,0.00,0.00,0.00,0.00
1.66,0.00,0.00,0.00,0.00
1.67,0.00,0.00,0.00,0.00
1.68,0.00,0.00,0.00,0.00
1.68,0.00,0.00,0.00,0.00
1.69,0.00,0.00,0.00,0.00
1.70,0.00,0.00,0.00,0.00
1.71,0.00,0.00,0.00,0.00
1.71,0.00,0.00,0.00,0.00
1.72,0.00,0.00,0.00,0.00
1.73,0.00,0.00,0.00,0.00
1.73,0.00,0.00,0.00,0.00
1.74,0.00,0.00,0.00,0.00
1.75,0.00,0.00,0.00,0.00
1.75,0.00,0.00,0.00,0.00
1.76,0.00,0.00,0.00,0.00
1.77,0.00,0.00,0.00,0.00
1.78,0.00,0.00,0.00,0.00
1.78,0.00,0.00,0.00,0.00
1.79,0.00,0.00,0.00,0.00
1.80,0.00,0.00,0.00,0.00
1.80,0.00,0.00,0.00,0.00
1.81,0.00,0.00,0.00,0.00
1.82,0.00,0.00,0.00,0.00
1.83,0.00,0.00,0.00,0.00
1.83,0.00,0.00,0.00,0.00
1.84,0.00,0.00,0.00,0.00
1.85,0.00,0.00,0.00,0.00
1.86,0.00,0.00,0.00,0.00
1.86,0.00,0.00,0.00,0.00
1.87,0.00,0.00,0.00,0.00
1.88,0.00,0.00,0.00,0.00
1.88,0.00,0.00,0.00,0.00
1.89,0.00,0.00,0.00,0.00
1.90,0.00,0.00,0.00,0.00
1.91,0.00,0.00,0.00,0.00
1.91,0.00,0.00,0.00,0.00
1.92,0.00,0.00,0.00,0.00
1.93,0.00,0.00,0.00,0.00
1.93,0.00,0.00,0.00,0.00
1.94,0.00,0.00,0.00,0.00
1.95,0.00,0.00,0.00,0.00
1.96,0.00,0.00,0.00,0.00
1.96,0.00,0.00,0.00,0.00
1.97,0.00,0.00,0.00,0.00
1.98,0.00,0.00,0.00,0.00
1.98,0.00,0.00,0.00,0.00
1.99,0.00,0.00,0.00,0.00
2.00,3.14,0.00,3.14,0.00
2.01,3.14,0.00,3.14,0.00
2.01,3.14,0.01,3.14,0.01
2.02,3.14,0.02,3.14,0.03
2.03,3.14,0.05,3.14,0.05
2.04,3.14,0.09,3.14,0.09
2.05,3.14,0.13,3.14,0.14
2.05,3.14,0.19,3.14,0.20
2.06,3.14,0.25,3.14,0.26
2.07,3.14,0.31,3.14,0.32
2.08,3.14,0.38,3.14,0.40
2.08,3.14,0.46,3.14,0.47
2.09,3.14,0.53,3.14,0.56
2.10,3.14,0.62,3.14,0.64
2.11,3.14,0.70,3.14,0.73
2.12,3.14,0.79,3.14,0.82
2.12,3.14,0.88,3.14,0.91
2.13,3.14,0.98,3.14,1.01
2.14,3.14,1.07,3.14,1.11
2.15,3.14,1.17,3.14,1.21
2.15,3.14,1.27,3.14,1.31
2.16,3.14,1.37,3.14,1.41
2.17,3.14,1.47,3.14,1.52
2.18,3.14,1.58,3.14,1.62
2.19,3.14,1.68,3.14,1.73
2.19,3.14,1.79,3.14,1.84
2.20,3.14,1.90,3.14,1.95
2.21,3.14,2.01,3.14,2.06
2.22,3.14,2.12,3.14,2.17
2.23,3.14,2.23,3.14,2.28
2.23,3.14,2.34,3.14,2.39
2.24,3.14,2.45,3.14,2.50
2.25,3.14,2.56,3.14,2.61
2.26,3.14,2.66,3.14,2.72
2.27,3.14,2.75,3.14,2.80
2.27,3.14,2.83,3.14,2.87
2.28,3.14,2.89,3.14,2.93
2.29,3.14,2.93,3.14,2.97
2.30,3.14,2.97,3.14,3.01
2.30,3.14,3.01,3.14,3.04
2.31,3.14,3.04,3.14,3.07
2.32,3.14,3.06,3.14,3.08
2.33,3.14,3.08,3.14,3.10
2.33,3.14,3.10,3.14,3.12
2.34,3.14,3.11,3.14,3.13
2.35,3.14,3.13,3.14,3.15
2.36,3.14,3.14,3.14,3.16
2.36,3.14,3.15,3.14,3.17
2.37,3.14,3.16,3.14,3.17
2.38,3.14,3.16,3.14,3.18
2.39,3.14,3.17,3.14,3.18
2.39,3.14,3.17,3.14,3.18
2.40,3.14,3.18,3.14,3.19
2.41,3.14,3.18,3.14,3.19
2.42,3.14,3.18,3.14,3.19
2.42,3.14,3.19,3.14,3.19
2.43,3.14,3.19,3.14,3.19
2.44,3.14,3.19,3.14,3.19
2.45,3.14,3.19,3.14,3.19
2.45,3.14,3.19,3.14,3.19
2.46,3.14,3.19,3.14,3.19
2.47,3.14,3.19,3.14,3.19
2.48,3.14,3.19,3.14,3.19
2.48,3.14,3.19,3.14,3.19
2.49,3.14,3.19,3.14,3.19
2.50,3.14,3.19,3.14,3.19
2.50,3.14,3.19,3.14,3.19
2.51,3.14,3.19,3.14,3.19
2.52,3.14,3.19,3.14,3.19
2.53,3.14,3.19,3.14,3.19
2.53,3.14,3.19,3.14,3.19
2.54,3.14,3.19,3.14,3.19
2.55,3.14,3.19,3.14,3.18
2.56,3.14,3.19,3.14,3.18
2.56,3.14,3.18,3.14,3.18
2.57,3.14,3.18,3.14,3.18
2.58,3.14,3.18,3.14,3.18
2.59,3.14,3.18,3.14,3.18
2.59,3.14,3.18,3.14,3.18
2.60,3.14,3.18,3.14,3.18
2.61,3.14,3.18,3.14,3.18
2.62,3.14,3.18,3.14,3.18
2.62,3.14,3.18,3.14,3.18
2.63,3.14,3.18,3.14,3.18
2.64,3.14,3.18,3.14,3.18
2.65,3.14,3.18,3.14,3.18
2.65,3.14,3.18,3.14,3.17
2.66,3.14,3.17,3.14,3.17
2.67,3.14,3.17,3.14,3.17
2.68,3.14,3.17,3.14,3.17
2.68,3.14,3.17,3.14,3.17
2.69,3.14,3.17,3.14,3.17
2.70,3.14,3.17,3.14,3.17
2.71,3.14,3.17,3.14,3.17
2.71,3.14,3.17,3.14,3.17
2.72,3.14,3.17,3.14,3.17
2.73,3.14,3.17,3.14,3.17
2.74,3.14,3.17,3.14,3.17
2.74,3.14,3.17,3.14,3.17
2.75,3.14,3.17,3.14,3.17
2.76,3.14,3.17,3.14,3.16
2.77,3.14,3.17,3.14,3.16
2.77,3.14,3.17,3.14,3.16
2.78,3.14,3.17,3.14,3.16
2.79,3.14,3.16,3.14,3.16
2.79,3.14,3.16,3.14,3.16
2.80,3.14,3.16,3.14,3.16
2.81,3.14,3.16,3.14,3.16
2.82,3.14,3.16,3.14,3.16
2.82,3.14,3.16,3.14,3.16
2.83,3.14,3.16,3.14,3.16
2.84,3.14,3.16,3.14,3.16
2.85,3.14,3.16,3.14,3.16
2.85,3.14,3.16,3.14,3.16
2.86,3.14,3.16,3.14,3.16
2.87,3.14,3.16,3.14,3.16
2.88,3.14,3.16,3.14,3.16
2.88,3.14,3.16,3.14,3.16
2.89,3.14,3.16,3.14,3.16
2.90,3.14,3.16,3.14,3.16
2.91,3.14,3.16,3.14,3.16
2.91,3.14,3.16,3.14,3.16
2.92,3.14,3.15,3.14,3.15
2.93,3.14,3.15,3.14,3.15
2.94,3.14,3.15,3.14,3.15
2.94,3.14,3.15,3.14,3.15
2.95,3.14,3.15,3.14,3.15
2.96,3.14,3.15,3.14,3.15
2.97,3.14,3.15,3.14,3.15
2.97,3.14,3.15,3.14,3.15
2.98,3.14,3.15,3.14,3.15
2.99,3.14,3.15,3.14,3.15
3.00,3.14,3.15,3.14,3.15
3.00,3.14,3.15,3.14,3.15
3.01,3.14,3.15,3.14,3.15
3.02,3.14,3.15,3.14,3.15
3.03,3.14,3.15,3.14,3.15
3.03,3.14,3.15,3.14,3.15
3.04,3.14,3.15,3.14,3.15
3.05,3.14,3.15,3.14,3.15
3.05,3.14,3.15,3.14,3.15
3.06,3.14,3.15,3.14,3.15
3.07,3.14,3.15,3.14,3.15
3.08,3.14,3.15,3.14,3.15
3.08,3.14,3.15,3.14,3.14
3.09,3.14,3.15,3.14,3.14
3.10,3.14,3.15,3.14,3.15
3.11,3.14,3.15,3.14,3.14
3.11,3.14,3.15,3.14,3.14
3.12,3.14,3.15,3.14,3.14
3.13,3.14,3.15,3.14,3.14
3.14,3.14,3.15,3.14,3.14
3.14,3.14,3.15,3.14,3.14
3.15,3.14,3.15,3.14,3.14
3.16,3.14,3.15,3.14,3.14
3.17,3.14,3.15,3.14,3.14
3.17,3.14,3.15,3.14,3.14
3.18,3.14,3.15,3.14,3.14
3.19,3.14,3.15,3.14,3.14
3.20,3.14,3.15,3.14,3.14
3.20,3.14,3.15,3.14,3.14
3.21,3.14,3.15,3.14,3.14
3.22,3.14,3.15,3.14,3.14
3.22,3.14,3.15,3.14,3.14
3.23,3.14,3.15,3.14,3.14
3.24,3.14,3.15,3.14,3.14
3.25,3.14,3.15,3.14,3.14
3.25,3.14,3.15,3.14,3.14
3.26,3.14,3.15,3.14,3.14
3.27,3.14,3.15,3.14,3.14
3.28,3.14,3.14,3.14,3.14
3.28,3.14,3.14,3.14,3.14
3.29,3.14,3.14,3.14,3.14
3.30,3.14,3.14,3.14,3.14
3.31,3.14,3.14,3.14,3.14
3.31,3.14,3.14,3.14,3.14
3.32,3.14,3.14,3.14,3.14
3.33,3.14,3.14,3.14,3.14
3.34,3.14,3.14,3.14,3.14
3.34,3.14,3.14,3.14,3.14
3.35,3.14,3.14,3.14,3.14
3.36,3.14,3.14,3.14,3.14
3.37,3.14,3.14,3.14,3.14
3.37,3.14,3.14,3.14,3.14
3.38,3.14,3.14,3.14,3.14
3.39,3.14,3.14,3.14,3.14
3.40,3.14,3.14,3.14,3.14
3.40,3.14,3.14,3.14,3.14
3.41,3.14,3.14,3.14,3.14
3.42,3.14,3.14,3.14,3.14
3.43,3.14,3.14,3.14,3.14
3.43,3.14,3.14,3.14,3.14
3.44,3.14,3.14,3.14,3.14
3.45,3.14,3.14,3.14,3.14
3.45,3.14,3.14,3.14,3.14
3.46,3.14,3.14,3.14,3.14
3.47,3.14,3.14,3.14,3.14
